지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
239,세종,2022-01-01,-5.1,-10.7,721,.7,1535,,,,,,,2.7,90,1450,1.7,110,1411,.5,471,70,-13.6,30,1153,54.1,2.2,1019.7,1034.4,222,1028.7,2343,1031.4,9.7,7.7,,,,,,,,,2.1,1.3,-2.5,-12.7,,,,,,,,,,,,,,
239,세종,2022-01-02,-1.4,-8,416,6.3,1357,,,,,,,5.3,270,1432,3.1,320,1436,1,886,320,-8.2,38,1539,60.9,3.3,1015.6,1028.8,1,1025.3,1459,1027,9.7,5,,,,,,,,,3.3,2,-.9,-10.5,,,,,,,,,,,,,,
239,세종,2022-01-03,-2.1,-8,708,3.5,1458,,,,,,,4.2,320,1405,2.6,340,1629,.7,601,70,-8.2,40,1533,65,3.3,1015.2,1029,1017,1024.9,1502,1026.7,9.7,7.8,,,,,,,,,3,1.1,-1.4,-12.1,,,,,,,,,,,,,,
239,세종,2022-01-04,-.4,-4.7,2320,4.5,1352,,,,,,,5.7,270,1636,3.7,320,1543,1.5,1256,320,-11.7,10,1517,46.6,2.7,1016.5,1029.6,2331,1024.9,53,1027.9,9.7,7.8,,,,,,,,,1.7,,.5,-11.2,,,,,,,,,,,,,,
239,세종,2022-01-05,-2.6,-7,358,1.5,1536,,,,,,,2.7,20,1226,1.6,320,1508,.5,434,360,-11.1,37,1409,52.8,2.6,1016,1029.5,17,1025.4,1524,1027.5,9.7,.5,,,,,,,,,8.4,4,-1.6,-11.4,,,,,,,,,,,,,,
239,세종,2022-01-06,-1.2,-6.7,834,5,1522,,,,,,,6.5,340,1320,3.8,340,1354,.9,783,320,-11.3,22,1523,50,2.6,1017.5,1030.9,2239,1026.5,109,1028.9,9.8,7.9,,,,,,,,,0,0,-.7,-11.6,,,,,,,,,,,,,,
239,세종,2022-01-07,-2,-7.8,645,5.2,1527,,,,,,,2.7,70,1216,1.9,70,1218,.4,367,70,-10.8,27,1521,54.3,2.7,1018.4,1032.2,827,1028,1639,1030,9.8,7.9,,,,,,,,,0,0,-1.3,-12.4,,,,,,,,,,,,,,
239,세종,2022-01-08,.3,-7.3,741,7.1,1526,,,,,,,4,270,1408,2.5,290,1520,.7,566,290,-7.1,39,1237,58.4,3.7,1013.8,1028.6,1,1022.5,2346,1025.1,9.8,7.4,,,,,,,,,,,.7,-11.6,,,,,,,,,,,,,,
239,세종,2022-01-09,1.8,-2,2349,6.3,1327,,,,,,,4.8,320,1146,3.2,320,1124,1,874,320,-4.5,39,1540,64.1,4.4,1011.2,1023.6,2130,1021.1,1418,1022.5,9.8,6.4,,,,,,,,,4.6,3.1,1.9,-8.7,,,,,,,,,,,,,,
239,세종,2022-01-10,.1,-4.9,618,5.8,1457,,,,,,.3,3.9,320,2213,2.5,340,1534,.7,637,320,-5.9,35,1702,67.3,4,1009.5,1023.9,933,1017.9,2357,1020.8,9.8,4,,,,,,,,,9.4,4.9,.8,-9.7,,,,,,,,,,,,,,
239,세종,2022-01-11,-4.5,-7.4,2400,-.4,204,,,,,,.1,9.2,340,454,6.3,340,504,2.8,2443,320,-12.9,33,1336,52.9,2.3,1009.4,1024.7,2338,1016.7,402,1020.9,9.8,7.9,,,,,,,,,4.3,1.8,-.9,-10.5,,,,,,,,,,,,,,
239,세종,2022-01-12,-5.8,-11.5,733,.2,1434,,,,,,,6.4,340,1602,3.7,320,1606,1.3,1087,320,-15,28,1605,50,1.9,1011.7,1025.3,241,1021.1,1508,1023.3,9.9,7.9,,,,,,,,,3.1,.3,-2.6,-14.4,,,,,,,,,,,,,,
239,세종,2022-01-13,-4.9,-7.7,316,-1,1410,,,,,,,10.7,340,1257,5.7,340,1303,2.3,2001,320,-13.3,34,1414,53.3,2.2,1010.8,1026,2329,1019.5,517,1022.4,9.9,6.6,,,,,,,,,5,3.4,-2.2,-11.6,,,,,,,,,,,,,,
239,세종,2022-01-14,-4.5,-10.7,720,2.4,1428,,,,,,,4.3,270,1142,2.2,320,17,.7,629,320,-15.4,22,1505,46,1.9,1014.6,1028.5,1056,1023.9,1708,1026.2,9.9,7.9,,,,,,,,,3,1.9,-2.3,-14.8,,,,,,,,,,,,,,
239,세종,2022-01-15,-.1,-6.6,716,5.5,1526,,,,,,,3.7,160,2242,2.1,320,2330,.7,566,320,-11,26,1253,45,2.7,1012,1026,1,1021.4,1548,1023.4,9.9,3.5,,,,,,,,,5.8,3.8,.2,-11.1,,,,,,,,,,,,,,
239,세종,2022-01-16,-.3,-5.1,2317,2.9,346,,,,,,.5,7.6,320,1319,4.6,340,1533,1.9,1614,320,-9.4,25,1319,52.4,3.2,1014,1028.3,2206,1021.7,455,1025.4,9.9,8,,,,,,,,,2,1.3,1.1,-11.4,,,,,,,,,,,,,,
239,세종,2022-01-17,-3.5,-8,814,1.9,1429,,,,,,,9,340,2023,6.3,340,2031,1.7,1477,320,-10.7,43,2342,58.1,2.8,1016.2,1029.8,954,1024.7,1508,1027.7,10,5.8,,,,,,,,,6.1,1.5,-2.8,-12,,,,,,,,,,,,,,
239,세종,2022-01-18,-4.5,-10.1,800,1.6,1542,,,,,,,4.7,340,135,2.9,320,15,1.1,957,290,-16.8,18,1502,40.3,1.7,1017.2,1031,1041,1026.5,1601,1028.8,10,8.1,,,,,,,,,0,0,-1.7,-15.1,,,,,,,,,,,,,,
239,세종,2022-01-19,-3.9,-9.5,809,2.1,1340,,,,,,.3,8.3,320,2123,5.4,320,2132,1.2,995,290,-9.9,35,1322,64.1,3,1013.6,1028.5,1,1021.9,1720,1025.1,10,3.5,,,,,,,,,4.4,1.9,-3.6,-13.4,,,,,,,,,,,,,,
239,세종,2022-01-20,-4.4,-10.7,539,2.1,1556,,,,,,,3.7,290,22,2.7,320,153,.9,813,320,-12.3,29,1456,56.9,2.4,1017.3,1030.6,2234,1025.7,1,1028.9,10,8.1,,,,,,,,,.1,0,-1.8,-14.3,,,,,,,,,,,,,,
239,세종,2022-01-21,-2.5,-9.4,719,5.2,1544,,,,,,,3.1,110,1506,1.8,70,1200,.5,472,70,-12,20,1536,52.8,2.5,1018.7,1032.9,1029,1028.4,1649,1030.2,10.1,8.1,,,,,,,,,2.6,1.4,-1.4,-14.4,,,,,,,,,,,,,,
239,세종,2022-01-22,2.5,-3.5,19,8.8,1513,,,,,,,2.9,320,1446,1.6,20,1548,.5,455,50,-7.6,31,1335,48.1,3.5,1014.7,1028.6,1,1023.9,1825,1025.9,10.1,2.5,,,,,,,,,8.3,7.6,2.5,-10.5,,,,,,,,,,,,,,
239,세종,2022-01-23,3.9,-.2,2356,9.6,1412,,,,,,,3.6,320,1836,2.6,340,1722,.8,677,70,-6.1,34,1410,49.1,3.9,1010.4,1024.4,1,1019,1630,1021.5,10.1,3.8,,,,,,,,,5.1,3.4,4.3,-7.4,,,,,,,,,,,,,,
239,세종,2022-01-24,3.8,-2.1,744,8.7,1322,,,,,,,6.7,50,1053,4.6,70,1054,1.6,1399,70,-5.2,37,1323,54.1,4.2,1010.5,1022.8,829,1020.2,1551,1021.7,10.2,5.4,,,,,,,,,4.1,3.4,2,-8.6,,,,,,,,,,,,,,
239,세종,2022-01-25,2.5,-.3,2322,4.8,1,,,,,,1.1,3.1,340,1351,2.4,340,1352,.9,757,70,-.3,48,1,83.6,6.1,1010.4,1023,2318,1020.2,1612,1021.6,10.2,0,,,,,,,,,6.9,4.4,1.1,-4.9,,,,,,,,,,,,,,
239,세종,2022-01-26,2,-1.5,719,6.7,1331,,,,,,,5,320,1918,3.2,320,1902,1.1,920,290,-4.8,39,1633,63.1,4.4,1013.5,1026.1,2231,1023.1,1,1024.8,10.2,5.7,,,,,,,,,6,3.4,1.3,-7,,,,,,,,,,,,,,
239,세종,2022-01-27,-.2,-3.9,720,6,1506,,,,,,,4.9,320,1655,3.1,340,1657,.9,785,290,-9.5,24,1550,52.1,3,1013.8,1026.7,919,1022.5,1453,1025.2,10.2,7.3,,,,,,,,,3.4,1.8,1,-9.4,,,,,,,,,,,,,,
239,세종,2022-01-28,-1.2,-5.3,713,4.4,1517,,,,,,,5.6,250,1258,3.1,320,1531,1.2,1035,290,-11.3,23,1553,49.3,2.7,1013.5,1027,904,1023.1,1754,1024.9,10.3,8.5,,,,,,,,,4.9,3.3,.6,-10.2,,,,,,,,,,,,,,
239,세종,2022-01-29,-2.5,-6,743,2.9,1416,,,,,,,6.6,320,1641,4.7,320,1408,1.5,1259,290,-13.2,20,1426,47.1,2.3,1011.2,1024.7,46,1020.1,1503,1022.6,10.3,8.3,,,,,,,,,2.8,1.3,-.5,-11.1,,,,,,,,,,,,,,
239,세종,2022-01-30,-2.7,-8.2,744,3.6,1448,,,,,,,5.4,320,1316,3.6,320,1727,1.1,941,320,-13.4,20,1538,47,2.2,1011.1,1024.5,2400,1020.4,1447,1022.5,10.3,8.6,,,,,,,,,1.8,.4,-1,-12,,,,,,,,,,,,,,
239,세종,2022-01-31,-1.1,-9.1,720,6,1515,,,,,,.4,4.5,290,1334,3,160,2118,.9,802,90,-8.8,29,1233,58.8,3.2,1013.1,1027,910,1022.9,2125,1024.5,10.3,8.7,,,,,,,,,2.3,1.4,.1,-12.3,,,,,,,,,,,,,,
239,세종,2022-02-01,0,-2.1,444,2.9,1256,,,,,,.1,7.9,270,1205,4.4,320,1231,1.4,1242,290,-5.9,52,1259,65.3,4,1014.6,1029.3,2314,1023.2,421,1026,10.4,5.3,,,,,,,,,4.6,2.5,1.1,-7.3,,,,,,,,,,,,,,
239,세종,2022-02-02,-.9,-3.5,2106,2.7,1440,,,,,,,7.7,340,1623,5.5,340,1657,1.5,1272,290,-11.5,22,1619,45.9,2.6,1017,1030,1109,1027.3,1542,1028.5,10.4,6.7,,,,,,,,,3.6,3.3,1.8,-9,,,,,,,,,,,,,,
239,세종,2022-02-03,-2.3,-5.9,405,2.7,1320,,,,,,,8.8,290,1416,4.8,340,1418,1.8,1546,290,-13.1,20,1323,46.1,2.3,1015.9,1028.7,825,1025.6,1500,1027.4,10.5,8.7,,,,,,,,,2.9,.8,.5,-10.9,,,,,,,,,,,,,,
239,세종,2022-02-04,-3.1,-6.4,221,1.7,1442,,,,,,.1,7.5,320,1347,5,340,1617,1.8,1522,290,-11.1,30,1403,55,2.6,1014,1027.5,158,1023.5,1459,1025.5,10.5,7.1,,,,,,,,,7,2.9,1.1,-9.7,,,,,,,,,,,,,,
239,세종,2022-02-05,-4.9,-8.9,731,-.2,1427,,,,,,0,8.1,320,1436,4.3,340,31,1.8,1584,320,-12,36,1336,58.4,2.4,1015.4,1028.6,2355,1024.9,1422,1027,10.5,7.2,,,,,,,,,3.9,1.4,-1.2,-11.6,,,,,,,,,,,,,,
239,세종,2022-02-06,-3.1,-9.6,707,2.9,1518,,,,,,,7.7,360,1505,4.6,320,1529,1.4,1180,320,-10.7,28,1521,58.4,2.7,1017,1029.8,2354,1026.4,1539,1028.6,10.5,6.8,,,,,,,,,2.3,.5,-1.3,-12.1,,,,,,,,,,,,,,
239,세종,2022-02-07,-2.2,-8.2,701,2.3,1424,,,,,,,6.6,320,1555,4.8,340,1555,1.3,1084,20,-13.1,23,1426,46.4,2.3,1017.2,1030.5,923,1026.3,1507,1028.7,10.6,4.1,,,,,,,,,6.8,2.1,-.6,-12.1,,,,,,,,,,,,,,
239,세종,2022-02-08,-.5,-6.1,603,6.4,1348,,,,,,,6,320,1509,3.6,340,1346,1.1,921,320,-10.7,25,1544,47.6,2.7,1016.4,1029.1,2316,1026,1619,1027.8,10.6,6.8,,,,,,,,,4.1,1.9,1.5,-10.9,,,,,,,,,,,,,,
239,세종,2022-02-09,.9,-6.3,723,7.7,1556,,,,,,,4.3,340,1830,2.5,320,1835,.7,563,340,-11.4,13,1617,44.6,2.6,1014.1,1029,813,1022.5,1647,1025.4,10.6,8.8,,,,,,,,,5.4,2.9,2.4,-11.4,,,,,,,,,,,,,,
239,세종,2022-02-10,2.2,-1.8,723,8.2,1351,,,,,,,7.4,320,1352,4.7,340,1542,1.3,1130,340,-10.7,17,1336,39.8,2.7,1012.2,1025.5,2251,1021.7,1424,1023.4,10.7,8.7,,,,,,,,,2,1.9,3.9,-8.4,,,,,,,,,,,,,,
239,세종,2022-02-11,2.2,-4.7,627,10,1547,,,,,,,5.5,360,1613,3.8,320,1703,1,833,70,-9.2,16,1502,46.1,3.1,1015.1,1028.7,906,1024.7,1607,1026.4,10.7,9,,,,,,,,,3.5,.9,3.5,-10.4,,,,,,,,,,,,,,
