지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
239,세종,2022-01-01,-5.1,-10.7,721.0,0.7,1535.0,,,,,,,2.7,90,1450,1.7,110,1411,0.5,471.0,70.0,-13.6,30.0,1153.0,54.1,2.2,1019.7,1034.4,222,1028.7,2343.0,1031.4,9.7,7.7,,,,,,,,,2.1,1.3,-2.5,-12.7,,,,,,,,,,,,,,
239,세종,2022-01-02,-1.4,-8.0,416.0,6.3,1357.0,,,,,,,5.3,270,1432,3.1,320,1436,1.0,886.0,320.0,-8.2,38.0,1539.0,60.9,3.3,1015.6,1028.8,1,1025.3,1459.0,1027.0,9.7,5.0,,,,,,,,,3.3,2.0,-0.9,-10.5,,,,,,,,,,,,,,
239,세종,2022-01-03,-2.1,-8.0,708.0,3.5,1458.0,,,,,,,4.2,320,1405,2.6,340,1629,0.7,601.0,70.0,-8.2,40.0,1533.0,65.0,3.3,1015.2,1029.0,1017,1024.9,1502.0,1026.7,9.7,7.8,,,,,,,,,3.0,1.1,-1.4,-12.1,,,,,,,,,,,,,,
239,세종,2022-01-04,-0.4,-4.7,2320.0,4.5,1352.0,,,,,,,5.7,270,1636,3.7,320,1543,1.5,1256.0,320.0,-11.7,10.0,1517.0,46.6,2.7,1016.5,1029.6,2331,1024.9,53.0,1027.9,9.7,7.8,,,,,,,,,1.7,,0.5,-11.2,,,,,,,,,,,,,,
239,세종,2022-01-05,-2.6,-7.0,358.0,1.5,1536.0,,,,,,,2.7,20,1226,1.6,320,1508,0.5,434.0,360.0,-11.1,37.0,1409.0,52.8,2.6,1016.0,1029.5,17,1025.4,1524.0,1027.5,9.7,0.5,,,,,,,,,8.4,4.0,-1.6,-11.4,,,,,,,,,,,,,,
239,세종,2022-01-06,-1.2,-6.7,834.0,5.0,1522.0,,,,,,,6.5,340,1320,3.8,340,1354,0.9,783.0,320.0,-11.3,22.0,1523.0,50.0,2.6,1017.5,1030.9,2239,1026.5,109.0,1028.9,9.8,7.9,,,,,,,,,0.0,0.0,-0.7,-11.6,,,,,,,,,,,,,,
239,세종,2022-01-07,-2.0,-7.8,645.0,5.2,1527.0,,,,,,,2.7,70,1216,1.9,70,1218,0.4,367.0,70.0,-10.8,27.0,1521.0,54.3,2.7,1018.4,1032.2,827,1028.0,1639.0,1030.0,9.8,7.9,,,,,,,,,0.0,0.0,-1.3,-12.4,,,,,,,,,,,,,,
239,세종,2022-01-08,0.3,-7.3,741.0,7.1,1526.0,,,,,,,4.0,270,1408,2.5,290,1520,0.7,566.0,290.0,-7.1,39.0,1237.0,58.4,3.7,1013.8,1028.6,1,1022.5,2346.0,1025.1,9.8,7.4,,,,,,,,,,,0.7,-11.6,,,,,,,,,,,,,,
239,세종,2022-01-09,1.8,-2.0,2349.0,6.3,1327.0,,,,,,,4.8,320,1146,3.2,320,1124,1.0,874.0,320.0,-4.5,39.0,1540.0,64.1,4.4,1011.2,1023.6,2130,1021.1,1418.0,1022.5,9.8,6.4,,,,,,,,,4.6,3.1,1.9,-8.7,,,,,,,,,,,,,,
239,세종,2022-01-10,0.1,-4.9,618.0,5.8,1457.0,,,,,,0.3,3.9,320,2213,2.5,340,1534,0.7,637.0,320.0,-5.9,35.0,1702.0,67.3,4.0,1009.5,1023.9,933,1017.9,2357.0,1020.8,9.8,4.0,,,,,,,,,9.4,4.9,0.8,-9.7,,,,,,,,,,,,,,
